Filename	Entry Number	File size	File offset
SMK\MMON.SMK	285	157628	97429
SMK\MPOOR.SMK	286	2248312	97506
SMK\MPOORW.SMK	287	2185168	98604
SMK\MRICH.SMK	288	3808216	99671
SMK\MTO.SMK	289	2721984	101531
SMK\NODATA.SMK	290	260560	102861
SMK\NSEXIT.SHP	291	1483	102989
SMK\OCBCA.SHP	292	1833	102990
SMK\OCBCE.SHP	293	1455	102991
SMK\OCBCN.SHP	294	1093	102992
SMK\OCBCP.SHP	295	1126	102993
SMK\OCBED.SHP	296	2403	102994
SMK\OCBFE.SHP	297	1798	102996
SMK\OCBHE.SHP	298	1483	102997
SMK\OCBHF.SHP	299	1498	102998
SMK\OCBHH.SHP	300	1610	102999
SMK\OCBIA.SHP	301	1875	103000
SMK\OCBIE.SHP	302	1433	103001
SMK\OCBIEN.SHP	303	1974	103002
SMK\OCBIEQ.SHP	304	1898	103003
SMK\OCBIM.SHP	305	2009	103004
SMK\OCBIME.SHP	306	1741	103005
SMK\OCBIP.SHP	307	1683	103006
SMK\OCCFE.SHP	308	1355	103007
SMK\OFFDOORA.SMK	309	132324	103008
SMK\OFFDOORB.SMK	310	77984	103073
SMK\OFFDOORC.SMK	311	132064	103112
SMK\OFFDOORD.SMK	312	77672	103177
SMK\OFFLOGO.SMK	313	684384	103215
SMK\OMON.SMK	314	104084	103550
SMK\OOCONT.SHP	315	8568	103601
SMK\OOEXIT.SHP	316	1283	103606
SMK\OOFINA.SHP	317	9439	103607
SMK\OOINVT.SHP	318	8724	103612
SMK\OOPERS.SHP	319	8461	103617
SMK\ORACCP.SHP	320	1763	103622
SMK\OUT1BRF1.SMK	321	367364	103623
SMK\OUT2BRF1.SMK	322	246328	103803
SMK\OUT3BRF1.SMK	323	332672	103924
SMK\OUT4BRF1.SMK	324	241588	104087
SMK\RARM.SHP	325	18123	104205
SMK\RCOMSTAR.SMK	326	402104	104214
SMK\REC1BRF1.SMK	327	273120	104411
SMK\REC2BRF1.SMK	328	272000	104545
SMK\REV1BRF1.SMK	329	171304	104678
SMK\RLEG.SHP	330	49332	104762
SMK\ROG1BRF1.SMK	331	296164	104787
SMK\ROTR.SHP	332	4208	104932
SMK\RTOR.SHP	333	11454	104935
SMK\SAVEEXIT.SHP	334	1474	104941
SMK\SAVELOAD.SHP	335	1678	104942
SMK\SAVESAVE.SHP	336	1644	104943
SMK\SDOORA.SMK	337	19868	104944
SMK\SDOORAB.SMK	338	19808	104954
SMK\SDOORB.SMK	339	29980	104964
SMK\SHIP.SMK	340	460252	104979
SMK\SHIPS.SMK	341	150524	105204
SMK\SIG1BRF1.SMK	342	50200	105278
SMK\SINST.SHP	343	9459	105303
SMK\SLIGHTB.SMK	344	15500	105308
SMK\SMECHW.SHP	345	9269	105316
SMK\SMERCS.SHP	346	9755	105321
SMK\SMON.SMK	347	78512	105326
SMK\SMRCNT.SHP	348	9165	105365
SMK\SOL1BRF1.SMK	349	331240	105370
SMK\SOL2BRF1.SMK	350	312260	105532
SMK\SOL3BRF1.SMK	351	354592	105685
SMK\SOL4BRF1.SMK	352	386268	105859
SMK\SOL5BRF1.SMK	353	321756	106048
SMK\SOL6BRF1.SMK	354	304684	106206
SMK\SOLARSYS.SMK	355	108352	106355
SMK\SOPTNS.SHP	356	8982	106408
SMK\SPA1BRF1.SMK	357	161148	106413
SMK\SPA2BRF1.SMK	358	261440	106492
SMK\SPA3BRF1.SMK	359	188112	106620
SMK\STARMAP.SMK	360	36688	106712
SMK\TRA1BRF1.SMK	361	209092	106730
SMK\TRA2BRF1.SMK	362	239388	106833
SMK\TRA3BRF1.SMK	363	274988	106950
SMK\TRA4BRF1.SMK	364	232880	107085
SMK\WOL1BRF1.SMK	365	409392	107199
SMK\WOL2BRF1.SMK	366	610920	107399
SMK\WOL3BRF1.SMK	367	318280	107698
SMK\WOL4BRF1.SMK	368	412092	107854
SMK\WOL5BRF1.SMK	369	223888	108056
SMK\WOU1BRF1.SMK	370	239216	108166
SND\ADRV688.DIG	0	11278	108284
SND\AILDRVR.LST	1	16131	108290
SND\DBSOUND.LST	2	2955	108298
SND\DOS4GW.EXE	3	265420	108300
SND\JAMMER.DIG	4	3219	108430
SND\PROAUDIO.DIG	5	2127	108432
SND\RAP10.DIG	6	2849	108434
SND\SAMPLE.AD	7	3662	108436
SND\SAMPLE.BNK	8	10780	108438
SND\SAMPLE.OPL	9	3242	108444
SND\SB16.DIG	10	2812	108446
SND\SBLASTER.DIG	11	2984	108448
SND\SBPRO.DIG	12	2763	108450
SND\SETSOUND.EXE	13	255244	108452
SND\SETSOUND.WAV	14	12076	108577
SND\SNDSCAPE.DIG	15	4171	108583
SND\SNDSYS.DIG	16	3332	108586
SND\ULTRA.DIG	17	9478	108588
SP16\ABOUTACT.BMP	0	153718	108595
SP16\ABOUTD2.BMP	1	2758	108671
SP16\ABOUTU2.BMP	2	2758	108673
SP16\ELECTD2.BMP	3	2758	108675
SP16\ELECTU2.BMP	4	2758	108677
SP16\EXITD1.BMP	5	2758	108679
SP16\EXITD2.BMP	6	2758	108681
SP16\EXITU1.BMP	7	2758	108683
SP16\EXITU2.BMP	8	2758	108685
SP16\FALL.BMP	9	153718	108687
SP16\FALLDN.BMP	10	8856	108763
SP16\FALLUP.BMP	11	8856	108768
SP16\GAMESD2.BMP	12	2758	108773
SP16\GAMESU2.BMP	13	2758	108775
SP16\GPREVDN.BMP	14	2758	108777
SP16\GPREVUP.BMP	15	2758	108779
SP16\HYPERDN.BMP	16	16080	108781
SP16\HYPERUP.BMP	17	16080	108789
SP16\I76DN.BMP	18	16248	108797
SP16\I76UP.BMP	19	16080	108805
SP16\INSTALD1.BMP	20	2758	108813
SP16\INSTALD2.BMP	21	2758	108815
SP16\INSTALU1.BMP	22	2758	108817
SP16\INSTALU2.BMP	23	2758	108819
SP16\MECH.BMP	24	153718	108821
SP16\MORED1.BMP	25	2758	108897
SP16\MOREU1.BMP	26	2758	108899
SP16\MPDN.BMP	27	8960	108901
SP16\MPUP.BMP	28	8960	108906
SP16\PLAYD1.BMP	29	2758	108911
SP16\PLAYD2.BMP	30	2758	108913
SP16\PLAYU1.BMP	31	2758	108915
SP16\PLAYU2.BMP	32	2758	108917
SP16\PREVIEW.BMP	33	153718	108919
SP16\RET1DN.BMP	34	5496	108995
SP16\RET1UP.BMP	35	5432	108998
SP16\RET2DN.BMP	36	3180	109001
SP16\RET2UP.BMP	37	3180	109003
SP16\RET3DN.BMP	38	3180	109005
SP16\RET3UP.BMP	39	3180	109007
SP16\SCREEN.BMP	40	153718	109009
SP16\TCDN.BMP	41	16080	109085
SP16\TCUP.BMP	42	15996	109093
SP16\THELPD2.BMP	43	2758	109101
SP16\THELPU2.BMP	44	2758	109103
SP16\UNINSTD2.BMP	45	2758	109105
SP16\UNINSTU2.BMP	46	2758	109107
SP256\ABOUTACT.BMP	0	308278	109111
SP256\ABOUTA~1.BMP	1	173878	109262
SP256\ABOUTD2.BMP	2	6358	109347
SP256\ABOUTU2.BMP	3	6358	109351
SP256\ELECTD2.BMP	4	6358	109355
SP256\ELECTU2.BMP	5	6358	109359
SP256\EXITD1.BMP	6	6358	109363
SP256\EXITD2.BMP	7	6358	109367
SP256\EXITU1.BMP	8	6358	109371
SP256\EXITU2.BMP	9	6358	109375
SP256\FALL.BMP	10	308278	109379
SP256\FALLDN.BMP	11	18758	109530
SP256\FALLUP.BMP	12	18758	109540
SP256\GAMESD2.BMP	13	6358	109550
SP256\GAMESU2.BMP	14	6358	109554
SP256\GPREVDN.BMP	15	6358	109558
SP256\GPREVUP.BMP	16	6358	109562
SP256\HYPERDN.BMP	17	32074	109566
SP256\HYPERUP.BMP	18	32074	109582
SP256\I76DN.BMP	19	32402	109598
SP256\I76UP.BMP	20	32074	109614
SP256\INSTALD1.BMP	21	6358	109630
SP256\INSTALD2.BMP	22	6358	109634
SP256\INSTALU1.BMP	23	6358	109638
SP256\INSTALU2.BMP	24	6358	109642
SP256\MECH.BMP	25	308278	109646
SP256\MORED1.BMP	26	6358	109797
SP256\MOREU1.BMP	27	6358	109801
SP256\MPDN.BMP	28	19098	109805
SP256\MPUP.BMP	29	19098	109815
SP256\PLAYD1.BMP	30	6358	109825
SP256\PLAYD2.BMP	31	6358	109829
SP256\PLAYU1.BMP	32	6358	109833
SP256\PLAYU2.BMP	33	6358	109837
SP256\PREVIEW.BMP	34	308278	109841
SP256\RET1DN.BMP	35	11958	109992
SP256\RET1UP.BMP	36	11958	109998
SP256\RET2DN.BMP	37	7334	110004
SP256\RET2UP.BMP	38	7334	110008
SP256\RET3DN.BMP	39	7334	110012
SP256\RET3UP.BMP	40	7334	110016
SP256\SCREEN.BMP	41	308278	110020
SP256\TCDN.BMP	42	32074	110171
SP256\TCUP.BMP	43	32074	110187
SP256\THELPD2.BMP	44	6358	110203
SP256\THELPU2.BMP	45	6358	110207
SP256\UNINSTD2.BMP	46	6358	110211
SP256\UNINSTU2.BMP	47	6358	110215
SPLASH.EXE	48	52736	110937
SPLASH.WAV	49	28268	112988
TOOLS\DEM1	0	2048	110220
TOOLS\DEM2	1	2048	110262
TOOLS\DOS4GW.EXE	2	265420	110312
TOOLS\EN00STAR.BWD	3	152	110442
TOOLS\EN01STAR.BWD	4	152	110443
TOOLS\EN02STAR.BWD	5	52	110444
TOOLS\EN03STAR.BWD	6	52	110445
TOOLS\EN04STAR.BWD	7	52	110446
TOOLS\EN05STAR.BWD	8	52	110447
TOOLS\EN06STAR.BWD	9	52	110448
TOOLS\EN07STAR.BWD	10	52	110449
TOOLS\EN08STAR.BWD	11	152	110450
TOOLS\GROUPER.EXE	12	85900	110451
TOOLS\MAKEBOTH.BAT	13	263	110493
TOOLS\MW2DOC.HTM	14	84821	110494
TOOLS\STRIPWLD.EXE	15	38992	110536
TOOLS\TAR.EXE	16	35231	110556
TOOLS\WASM.EXE	17	179981	110574
UNINST.EXE	51	261632	110963
UNINST.WAV	52	65580	113002
VENDOR.GID	53	8628	111505
VENDOR.HLP	54	47104	111709
VFX\MCGA.DLL	0	7056	110663
VFX\VESA480.DLL	1	19028	110667
VFX\VESA768.DLL	2	20948	110677
VFX\VFXHD.BIN	3	48642	110688
VFX\VFXJK.BIN	4	24863	110712
VFX\VFXTM.BIN	5	48450	110725
VIDDLL.DLL	56	78336	111247
WAIL32.DLL	57	7	111286
_INST32I.EX_	58	296021	111345
_ISDEL.EXE	59	7680	110749
_ISRES.DLL	60	88576	111091
_SETUP.DLL	61	9728	111135
_SETUP.LIB	62	2001907	111788
