Filename	Entry Number	File size	File offset
HELP.HLP	25	329373	111548
INSTALL.WAV	26	71724	112929
INTERNET.TXT	27	25998	112773
KEATING\TRA1001S.SFL	0	27027	5271
KEATING\TRA1002S.SFL	1	171127	5285
KEATING\TRA1003S.SFL	2	136723	5369
KEATING\TRA1004S.SFL	3	180119	5436
KEATING\TRA1005S.SFL	4	54247	5524
KEATING\TRA1006S.SFL	5	144527	5551
KEATING\TRA1007S.SFL	6	96779	5622
KEATING\TRA1008S.SFL	7	109287	5670
KEATING\TRA1009.SFL	8	111079	5724
KEATING\TRA1009S.SFL	9	55173	5779
KEATING\TRA2001S.SFL	10	189931	5806
KEATING\TRA2002S.SFL	11	214351	5899
KEATING\TRA2003S.SFL	12	78107	6004
KEATING\TRA2004S.SFL	13	101767	6043
KEATING\TRA2005S.SFL	14	72795	6093
KEATING\TRA2006S.SFL	15	53643	6129
KEATING\TRA2007S.SFL	16	51051	6156
KEATING\TRA2008S.SFL	17	121423	6181
KEATING\TRA3001S.SFL	18	167419	6241
KEATING\TRA3002S.SFL	19	286959	6323
KEATING\TRA3003S.SFL	20	21891	6464
KEATING\TRA3004S.SFL	21	188471	6475
KEATING\TRA3005S.SFL	22	80375	6568
KEATING\TRA3006S.SFL	23	42039	6608
KEATING\TRA3007S.SFL	24	56291	6629
KEATING\TRA4001S.SFL	25	96139	6657
KEATING\TRA4002S.SFL	26	149259	6704
KEATING\TRA4003S.SFL	27	18151	6777
KEATING\TRA4004S.SFL	28	85337	6786
KEATING\TRA4005S.SFL	29	101047	6828
KEATING\TRA4006S.SFL	30	124023	6878
KEATING\TRA4007S.SFL	31	38795	6939
KEATING\TRA4008S.SFL	32	93495	6958
KEATING\TRA4009S.SFL	33	42471	7004
KEATING\TRA4010S.SFL	34	137935	7025
KEATING\TRA4011S.SFL	35	144255	7093
KEATING\TRA4012S.SFL	36	37693	7164
KEATING\TRA4013S.SFL	37	22229	7183
KEATING\TRAIN01S.SFL	38	10303	7194
KEATING\TRAIN02S.SFL	39	21497	7200
KEATING\TRAIN03S.SFL	40	14545	7211
KEATING\TRAIN04S.SFL	41	17587	7219
KEATING\TRAIN1.SFL	42	25663	7228
KEATING\TRAIN2.SFL	43	45475	7241
KEATING\TRAIN3.SFL	44	41615	7264
KEATING\TRAIN4.SFL	45	46791	7285
LAUNCH\LAUNCH.SHP	0	6914	23
LAUNCH\LAUNCH6.SHP	1	20446	27
LAUNCH\SUPANM.SHP	2	5591	37
LAUNCH\SUPANM6.SHP	3	15540	40
MERCS\DATABASE.MW2	0	16198967	31143
MERCS\DEFNET.CFG	1	200	39053
MERCS\DOS4GW.EXE	2	265420	39054
MERCS\FLTSTCK.MAP	3	8326	39184
MERCS\GAMEKEY.MAP	4	4176	39189
MERCS\INPUT.MAP	5	5324	39192
MERCS\INPUTW.MAP	6	3096	39195
MERCS\IPXADR.EXE	7	9968	39197
MERCS\JOYSTICK.MAP	8	7647	39202
MERCS\KEYBOARD.MAP	9	7225	39206
MERCS\LSLCHECK.EXE	10	8462	39210
MERCS\MERCNET.EXE	11	13332	39215
MERCS\MERCPPP.BAT	12	4341	39222
MERCS\MERCS.EXE	13	31989	39225
MERCS\MERCSW.DLL	14	854528	39241
MERCS\MERCSWIN.EXE	15	35840	39659
MERCS\MODEM.LST	16	146	39677
MERCS\MOUSE.MAP	17	7466	39678
MERCS\MSJSTICK.MAP	18	8323	39682
MERCS\MSS32.DLL	19	136192	39687
MERCS\MW2.DLL	20	882176	39754
MERCS\MW2.EXE	21	944149	40185
MERCS\MW2.INI	22	4959	40647
MERCS\MW2.PRJ	23	41479843	40650
MERCS\MW2586.CFG	24	84	60904
MERCS\MW2DIF.CFG	25	23	60905
MERCS\MW2PRM.CFG	26	12	60906
MERCS\MW2SHELL.DLL	27	791552	60907
MERCS\MW2SHELL.EXE	28	962175	61294
MERCS\NETKEY.MAP	29	0	61764
MERCS\NETSHELL.EXE	30	453425	61764
MERCS\NETSHELL.INI	31	5825	61986
MERCS\PPPSHARE.EXE	32	192229	61989
MERCS\SERVERS.TXT	33	36	62083
MERCS\SETSOUND.BAT	34	40	62084
MERCS\SKYGND.PAR	35	13263	62085
MERCS\SMACKW32.DLL	36	60416	62092
MERCS\WAIL32.DLL	37	114688	62122
MERCS\WATPING.EXE	38	75416	62178
MIDIDLL.DLL	32	20480	111237
MISSIONS\AVO1.MWM	0	44544	62216
MISSIONS\BAS1.MWM	1	46592	62238
MISSIONS\BAS2.MWM	2	41472	62261
MISSIONS\BAS3.MWM	3	39936	62282
MISSIONS\BAS4.MWM	4	44544	62302
MISSIONS\BAS5.MWM	5	43520	62324
MISSIONS\FAL1.MWM	6	47616	62346
MISSIONS\FRE1.MWM	7	50176	62370
MISSIONS\FRE2.MWM	8	47616	62395
MISSIONS\FRE3.MWM	9	55808	62419
MISSIONS\FRE4.MWM	10	62976	62447
MISSIONS\FRE5.MWM	11	48128	62478
MISSIONS\FRE6.MWM	12	43520	62502
MISSIONS\FRE7.MWM	13	38912	62524
MISSIONS\FRE8.MWM	14	39424	62543
MISSIONS\FREA.MWM	15	50176	62563
MISSIONS\FREB.MWM	16	51200	62588
MISSIONS\KIN1.MWM	17	71680	62613
MORE.WAV	34	45100	112965
OLD_MERC.DRV	35	264	111344
PRODUCT.INI	36	204	111343
README.TXT	37	44835	112786
REGISTER.EXE	38	250880	110791
RMG\AIRPORT.BWD	0	1072	62650
RMG\BASE1.BWD	1	5752	62651
RMG\BASEA.BWD	2	1768	62654
RMG\CHEMPLNT.BWD	3	2432	62655
RMG\DRPSHP1.BWD	4	500	62657
RMG\DRPSHP2.BWD	5	500	62658
RMG\DRPSHP3.BWD	6	500	62659
RMG\DRPSHP4.BWD	7	500	62660
RMG\DRPSHP5.BWD	8	696	62661
RMG\FIELDHQ.BWD	9	1104	62662
RMG\FIREBASE.BWD	10	4424	62663
RMG\GRDTOWER.BWD	11	1452	62666
RMG\GREEK1.BWD	12	4092	62667
RMG\HPG1.BWD	13	4424	62669
RMG\INDPLNT2.BWD	14	5524	62672
RMG\MINERIG.BWD	15	440	62675
RMG\MIS0SCN1.BWD	16	2900	62676
RMG\MIS0SCN2.BWD	17	4019	62678
RMG\MIS0SCN3.BWD	18	5138	62680
RMG\MIS0SCN4.BWD	19	5502	62683
RMG\MIS1SCN1.BWD	20	2598	62686
RMG\MIS1SCN2.BWD	21	3566	62688
RMG\MIS1SCN3.BWD	22	4534	62690
RMG\MIS1SCN4.BWD	23	5502	62693
RMG\MIS2SCN1.BWD	24	2749	62696
RMG\MIS2SCN2.BWD	25	4019	62698
RMG\MIS2SCN3.BWD	26	5289	62700
RMG\MIS2SCN4.BWD	27	6559	62703
RMG\MIS3SCN1.BWD	28	2900	62707
RMG\MIS3SCN2.BWD	29	4019	62709
RMG\MIS3SCN3.BWD	30	5138	62711
RMG\MIS3SCN4.BWD	31	5502	62714
RMG\MIS4SCN1.BWD	32	2598	62717
RMG\MIS4SCN2.BWD	33	3264	62719
RMG\MIS4SCN3.BWD	34	3930	62721
RMG\MIS4SCN4.BWD	35	4596	62723
RMG\MIS5SCN1.BWD	36	2749	62726
RMG\MIS5SCN2.BWD	37	3415	62728
RMG\MIS5SCN3.BWD	38	4081	62730
RMG\MIS5SCN4.BWD	39	4747	62732
RMG\MIS6SCN1.BWD	40	2900	62735
RMG\MIS6SCN2.BWD	41	3566	62737
RMG\MIS6SCN3.BWD	42	4232	62739
RMG\MIS6SCN4.BWD	43	4596	62742
RMG\MIS7SCN1.BWD	44	2900	62745
RMG\MIS7SCN2.BWD	45	3566	62747
RMG\MIS7SCN3.BWD	46	4232	62749
RMG\MIS7SCN4.BWD	47	4596	62752
RMG\MIS8SCN1.BWD	48	2598	62755
RMG\MIS8SCN2.BWD	49	3566	62757
RMG\MIS8SCN3.BWD	50	4534	62759
RMG\MIS8SCN4.BWD	51	5502	62762
RMG\MIS9SCN1.BWD	52	2749	62765
RMG\MIS9SCN2.BWD	53	4019	62767
RMG\MIS9SCN3.BWD	54	5289	62769
RMG\MIS9SCN4.BWD	55	6559	62772
RMG\NUKEPLNT.BWD	56	1104	62776
RMG\OFFICE.BWD	57	440	62777
RMG\OFFICE1.BWD	58	440	62778
RMG\PROCESS1.BWD	59	2764	62779
RMG\PUMPSTN3.BWD	60	2432	62781
RMG\RDRAREA1.BWD	61	2432	62783
RMG\RESEXTR.BWD	62	1616	62785
RMG\SMSTK.BWD	63	2432	62786
RMG\TRAINCTR.BWD	64	1812	62788
RMG\URBNSPCL.BWD	65	424	62789
SETUP.BMP	40	57078	111315
SETUP.EXE	41	47104	110914
SETUP.INS	42	114514	111732
SETUP.PKG	43	10899	112766
SMK\AAMMO.SMK	0	273564	62799
SMK\AAMMO1.SMK	1	300700	62933
SMK\AAMMO2.SMK	2	256156	63080
SMK\AANI.SMK	3	107496	63206
SMK\AASA.SMK	4	94268	63259
SMK\AATL.SMK	5	116900	63306
SMK\AAWE.SMK	6	109960	63364
SMK\ABHK.SMK	7	118196	63418
SMK\ABMB.SMK	8	118484	63476
SMK\ACAT.SMK	9	156988	63534
SMK\ACAU.SMK	10	131904	63611
SMK\ACEN.SMK	11	101584	63676
SMK\ACIC.SMK	12	117444	63726
SMK\ACMD.SMK	13	114216	63784
SMK\ACNT.SMK	14	121168	63840
SMK\ACOM.SMK	15	114216	63900
SMK\ACRB.SMK	16	120348	63956
SMK\ACYC.SMK	17	121956	64015
SMK\ADRA.SMK	18	111860	64075
SMK\ADRW.SMK	19	132296	64130
SMK\AELE.SMK	20	108360	64195
SMK\AEQUIP1.SMK	21	194336	64248
SMK\AEQUIP2.SMK	22	153492	64343
SMK\AEQUIPT.SMK	23	160700	64418
SMK\AEQUIPT1.SMK	24	194336	64497
SMK\AEQUIPT2.SMK	25	148416	64592
SMK\AEXE.SMK	26	103196	64665
SMK\AFLA.SMK	27	135736	64716
SMK\AFRM.SMK	28	119360	64783
SMK\AGRG.SMK	29	117756	64842
SMK\AGRM.SMK	30	129324	64900
SMK\AGRZ.SMK	31	113932	64964
SMK\AHAT.SMK	32	125172	65020
SMK\AHCH.SMK	33	118472	65082
SMK\AHIL.SMK	34	125068	65140
SMK\AHLB.SMK	35	142828	65202
SMK\AHOR.SMK	36	106144	65272
SMK\AISB.SMK	37	98056	65324
SMK\AJAG.SMK	38	149660	65372
SMK\AJAV.SMK	39	124496	65446
SMK\AJEN.SMK	40	120416	65507
SMK\AJNR.SMK	41	129040	65566
SMK\AKDK.SMK	42	116920	65630
SMK\AKTF.SMK	43	94108	65688
SMK\ALASER.SMK	44	109856	65734
SMK\ALASER1.SMK	45	144696	65788
SMK\ALASER2.SMK	46	101788	65859
SMK\ALBK.SMK	47	137652	65909
SMK\AMAU.SMK	48	155204	65977
SMK\AMDG.SMK	49	130784	66053
SMK\AMISSLE.SMK	50	212200	66117
SMK\AMISSLE1.SMK	51	226528	66221
SMK\AMISSLE2.SMK	52	199768	66332
SMK\AMON.SMK	53	107536	66430
SMK\ANGA.SMK	54	113640	66483
SMK\ANVA.SMK	55	110692	66539
SMK\AORI.SMK	56	102356	66594
SMK\APLY.SMK	57	114216	66644
SMK\APNT.SMK	58	113680	66700
SMK\APROJ.SMK	59	165952	66756
SMK\APROJ1.SMK	60	192144	66838
SMK\APROJ2.SMK	61	148056	66932
SMK\APTM.SMK	62	114260	67005
SMK\AQUD.SMK	63	98620	67061
SMK\ARAK.SMK	64	123792	67110
SMK\ARAV.SMK	65	105128	67171
SMK\ASAL.SMK	66	104840	67223
SMK\ASEN.SMK	67	94732	67275
SMK\ASMN.SMK	68	124108	67322
SMK\ASTK.SMK	69	155416	67383
SMK\ASTM.SMK	70	134520	67459
SMK\ATBR.SMK	71	144704	67525
SMK\ATHG.SMK	72	122552	67596
SMK\ATRE.SMK	73	99656	67656
SMK\AURB.SMK	74	122156	67705
SMK\AVIC.SMK	75	117080	67765
SMK\AVIN.SMK	76	97312	67823
SMK\AWHK.SMK	77	117176	67871
SMK\AWHW.SMK	78	96964	67929
SMK\AWLF.SMK	79	89216	67977
SMK\AZEU.SMK	80	119528	68021
SMK\BAACCP.SHP	81	2094	68080
SMK\BAAMMO.SHP	82	1961	68082
SMK\BABUY.SHP	83	1673	68083
SMK\BACCEPT.SHP	84	1698	68084
SMK\BAENRG.SHP	85	2043	68085
SMK\BAEQUP.SHP	86	1978	68086
SMK\BAEXIT.SHP	87	1712	68087
SMK\BAMISS.SHP	88	2134	68088
SMK\BAPROJ.SHP	89	1750	68090
SMK\BARMDLR.SHP	90	3208	68091
SMK\BASELL.SHP	91	1621	68093
SMK\BCACCP.SHP	92	2015	68094
SMK\BCADD.SHP	93	1618	68095
SMK\BCAMMO.SHP	94	1961	68096
SMK\BCENRG.SHP	95	2043	68097
SMK\BCEQUP.SHP	96	1978	68098
SMK\BCEXIT.SHP	97	1635	68099
SMK\BCLEARA.SHP	98	2412	68100
SMK\BCLEARI.SHP	99	1914	68102
SMK\BCMISS.SHP	100	2134	68103
SMK\BCNEXT.SHP	101	1198	68105
SMK\BCPREV.SHP	102	1227	68106
SMK\BCPROJ.SHP	103	1750	68107
SMK\BCREM.SHP	104	2219	68108
SMK\BDREXIT.SHP	105	1569	68110
SMK\BDRNEXT.SHP	106	1240	68111
SMK\BDRPREV.SHP	107	1266	68112
SMK\BET1BRF1.SMK	108	598596	68113
SMK\BET2BRF1.SMK	109	472328	68406
SMK\BET3BRF1.SMK	110	309696	68637
SMK\BET4BRF1.SMK	111	415332	68789
SMK\BET5BRF1.SMK	112	194164	68992
SMK\BIG1BRF1.SMK	113	373216	69087
SMK\BMARMS.SHP	114	6944	69270
SMK\BMCUST.SHP	115	5851	69274
SMK\BMDUTY.SHP	116	53630	69277
SMK\BMECASGN.SHP	117	3033	69304
SMK\BMECEXIT.SHP	118	2892	69306
SMK\BMEXIT.SHP	119	1852	69308
SMK\BMFACT.SHP	120	6438	69309
SMK\BMMECH.SHP	121	5562	69313
SMK\BMREPR.SHP	122	6037	69316
